date	etime	name	nbcell	nbrun	nbvalid	success	time	output
2017-08-25 15:46:21.481247	8.256070600000044	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.5588893999999982	
2017-08-25 15:46:34.760409	13.271994800000016	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	6.218278700000043	
2017-08-25 15:46:42.952419	8.203875999999923	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.7395450999999866	
2017-08-25 15:46:51.131246	8.165169800000058	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	1.0407436000000416	
2017-08-25 15:56:41.602629	9.262231400000019	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.1663786999999957	
2017-08-25 15:56:57.959196	16.361453400000073	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	9.040408999999954	
2017-08-25 15:57:08.199237	10.237668900000015	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.816785500000152	
2017-08-25 15:57:16.408782	8.210676700000022	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.0367785000000822	
2017-08-25 15:57:26.700251	10.276649899999938	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.8513990000001286	
2017-08-25 15:57:34.968235	8.26990120000005	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	0.9708456000000752	
2017-08-25 15:57:42.163809	7.193968999999925	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.1869950999998764	
2017-08-25 15:57:50.388617	8.237664699999868	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.0951122999999825	
2017-08-25 15:58:03.705801	13.303972700000033	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	6.009309699999903	
2017-08-25 15:58:11.957411	8.250596200000018	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.7453640999999607	
2017-08-25 15:58:20.199827	8.24519620000001	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	1.2107043000000886	
2017-08-27 09:52:24.546408	9.215575300000012	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.1916227000000106	
2017-08-27 09:58:43.763049	10.259572899999966	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.4657982999999604	
2017-08-27 09:59:00.121442	16.36253140000008	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	9.032853199999977	
